userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
2FQ2014,n,3,14,27,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,6
2FQ2014,n,3,14,27,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,7
2FQ2014,n,3,14,27,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,12
2FQ2014,n,3,14,27,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,11
2FQ2014,n,3,14,27,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,8
2FQ2014,n,3,14,27,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,9
2FQ2014,n,3,14,27,False,Which country does Suriname not have a border with,Venezuela,French Guiana
2FQ2014,n,3,14,27,False,An English-based lingua franca used in Suriname is:,Sranang,Sranang
2FQ2014,n,3,14,27,False,Along which river was the earliest documented colony in Suriname?,The Suriname river,The Guiana river
2FQ2014,n,3,14,27,False,When did full independence happened for Suriname?,In the decade of the 1970s,In the decade of the 1940s
2FQ2014,n,3,14,27,False,Which two agricultural products are still a strong part of the economy?,Bananas and rice,Rice and sugar cane
2FQ2014,n,3,14,27,False,The legislative branch of government consists of:,a 51-member unicameral Assembly,a 123-member legislative Assembly
2FQ2014,n,3,14,27,False,How is the President of Suriname elected:,With the vote of at least 34 members of the legislative body,By direct vote
2FQ2014,n,3,14,27,False,The indigenous Amerindians constitute what part of the population:,Less than 4%,21.7%
2FQ2014,n,3,14,27,False,

