userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
5MS3205,c,2,5,57,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,9
5MS3205,c,2,5,57,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,8
5MS3205,c,2,5,57,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,9
5MS3205,c,2,5,57,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,10
5MS3205,c,2,5,57,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,9
5MS3205,c,2,5,57,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,8
5MS3205,c,2,5,57,False,Which island or islands is Vanuatu furthest from?,Tasmania,New Caledonia
5MS3205,c,2,5,57,False,Which country claimed the Vanuatu islands first?,The Spanish,The French
5MS3205,c,2,5,57,False,In which island is the capital Port Vila?,Efate,Espiritu Santo
5MS3205,c,2,5,57,False,The temperature of the ocean around Vanuatu is approximately,Between 22 centigrade and 28 centigrade,between 18 and 22 centigrade
5MS3205,c,2,5,57,False,Vanuatu's Prime Minister is chosen:,At least three-quarters quorum in the parliament,By simple majority in the parliament
5MS3205,c,2,5,57,False,Which in the following list does not belong to the top four mainstays of the economy?,Meat processing,Offshore financial services
5MS3205,c,2,5,57,False,How many of the households in Vanuatu depend on subsistence fishing?,between 70% and 80%,between 80% and 90%
5MS3205,c,2,5,57,False,Which of the following factors is not a main deterrent for the development of Vanuatu?,Unstable political situation,Non-diversified exports
5MS3205,c,2,5,57,False,

