userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
22F,s,1,22,201,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,16
22F,s,1,22,201,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,2
22F,s,1,22,201,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,9
22F,s,1,22,201,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,14
22F,s,1,22,201,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,16
22F,s,1,22,201,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,3
22F,s,1,22,201,False,Which country does Laos not have a border with,Malaysia,Malaysia
22F,s,1,22,201,False,How many kingdoms was the Lan Xang kingdom was split into in the 18th century?,Three,Three
22F,s,1,22,201,False,What are the origins of Laos current government?,The Pathet Lao Guerrillas,The French Colonial Resistance
22F,s,1,22,201,False,In what type of landscape do the ethnically dominant people of Laos live?,Interior Lowlands,Foothills
22F,s,1,22,201,False,Which country is not in the top three trade nations with Laos?,Cambodia,Vietnam
22F,s,1,22,201,False,Who determines the government policies in Laos?,The Prime Minister Thongsing Thammavong,Everyone in this list
22F,s,1,22,201,False,The number of elected officials over the last twenty years has:,Increased to 132 members,Increased to 132 members
22F,s,1,22,201,False,What is lam?,A music style,A music style
22F,s,1,22,201,False,

