userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
1MW2207,c,0,7,20,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,6
1MW2207,c,0,7,20,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,5
1MW2207,c,0,7,20,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,4
1MW2207,c,0,7,20,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,10
1MW2207,c,0,7,20,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,7
1MW2207,c,0,7,20,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,1
1MW2207,c,0,7,20,False,How many islands belong to Scotland,around 264,more than 790
1MW2207,c,0,7,20,False,The third largest city of Scotland is?,Dundee,Aberdeen
1MW2207,c,0,7,20,False,Scotland entered into a political union with England?,on 1 May 1707,on 1 May 1707
1MW2207,c,0,7,20,False,Scotland constitutes a distinct jurisdiction in:,public and private law,public and private law
1MW2207,c,0,7,20,False,

